id,code,delivery,name,pickup
Account-incoterms1,EXW,FALSE,EX WORKS,TRUE
Account-incoterms2,FCA,FALSE,FREE CARRIER,TRUE
Account-incoterms3,FAS,FALSE,FREE ALONGSIDE SHIP,TRUE
Account-incoterms4,FOB,FALSE,FREE ON BOARD,FALSE
Account-incoterms5,CFR,FALSE,COST AND FREIGHT,FALSE
Account-incoterms6,CIF,FALSE,"COST, INSURANCE AND FREIGHT",FALSE
Account-incoterms7,CPT,FALSE,CARRIAGE PAID TO,FALSE
Account-incoterms8,CIP,FALSE,CARRIAGE AND INSURANCE PAID TO,FALSE
Account-incoterms9,DPU,TRUE,DELIVERED AT PLACE UNLOADED,FALSE
Account-incoterms10,DAP,TRUE,DELIVERED AT PLACE,FALSE
Account-incoterms11,DDP,TRUE,DELIVERED DUTY PAID,FALSE
