id,partner_id:id,code,name
frieght_flights_1,res_partner_14,EK,EK176
frieght_flights_2,res_partner_12,EG,EGY185
frieght_flights_3,res_partner_19,LH,LH888
frieght_flights_5,res_partner_5,ZY,ZY2014
frieght_flights_7,,SA,Sa016/17
frieght_flights_8,res_partner_12,EG,EGY303
frieght_flights_9,res_partner_19,LH,LH078/77
frieght_flights_10,res_partner_14,EK,EK191
frieght_flights_11,res_partner_15,EY,EY710
frieght_flights_12,res_partner_6,AF,AF626
frieght_flights_13,res_partner_14,EK,EK518/519
frieght_flights_14,,TK,TK202
